topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
politics,0.5699799999999999,5.0,-0.2776,1.0,0.0,15.714285714285714,2025-02-17
politics,0.6999,3.0,-0.03660000000000002,2.0,0.0,14.142857142857142,2025-02-24
politics,-0.40669999999999995,2.0,0.048424999999999996,4.0,0.0,46.714285714285715,2025-03-10
politics,-0.21665,2.0,-0.5640166666666667,6.0,0.0,88.0,2025-03-17
politics,-0.03200000000000003,2.0,0.17529999999999998,5.0,0.0,54.857142857142854,2025-03-24
politics,-0.9163,1.0,0.3187,3.0,0.0,18.714285714285715,2025-03-31
politics,0.22387500000000002,8.0,-0.8977833333333334,6.0,0.0,17.0,2025-04-07
politics,0.24958,5.0,-0.03645000000000004,4.0,0.0,15.285714285714286,2025-04-14
politics,-0.2738666666666667,3.0,-0.0045499999999999985,2.0,0.0,14.0,2025-04-21
politics,0.1183,5.0,-0.3465666666666667,3.0,0.0,13.428571428571429,2025-04-28
politics,0.06735000000000002,4.0,,,,13.0,2025-05-05
politics,-0.22992857142857145,7.0,0.8509,1.0,0.0,13.0,2025-05-12
politics,0.2735142857142857,7.0,0.014550000000000007,4.0,0.0,13.571428571428571,2025-05-19
politics,0.410725,4.0,0.9956,1.0,0.0,14.0,2025-05-26
politics,0.39918,5.0,,,,16.857142857142858,2025-06-02
politics,-0.5517333333333333,3.0,0.9668,1.0,0.0,15.0,2025-06-09
politics,0.1971333333333333,3.0,,,,12.0,2025-06-16
politics,,,-0.2111,1.0,0.0,13.142857142857142,2025-06-23
politics,-0.90825,2.0,-0.8473999999999999,2.0,0.0,16.285714285714285,2025-06-30
politics,0.59164,5.0,0.85985,2.0,0.0,16.285714285714285,2025-07-07
politics,-0.15858,5.0,-0.7073333333333333,3.0,0.0,13.857142857142858,2025-07-14
politics,0.3617333333333333,6.0,,,,12.428571428571429,2025-07-21
politics,-0.062450000000000006,2.0,0.08408,5.0,0.0,12.0,2025-07-28
politics,-0.5613,1.0,-0.9952,1.0,0.0,15.428571428571429,2025-08-04
politics,-0.47609999999999997,4.0,-0.89054,5.0,0.0,16.285714285714285,2025-08-11
politics,0.5861666666666666,3.0,0.9931000000000001,2.0,0.0,13.857142857142858,2025-08-18
politics,0.07895000000000002,2.0,,,,13.0,2025-08-25
politics,-0.12924285714285716,7.0,,,,14.714285714285714,2025-09-01
politics,0.3850875,8.0,-0.9932,1.0,0.0,20.0,2025-09-08
